YearsCode,Gender,Julia,Education,Age,Rust,SQL,R,YearsCodeProfessional,Python,C,LISP,Blockchain,Clojure,Sexuality,SalaryUSD,Java,Ethnicity,Cplusplus,Background,JavaScript,HTML_CSS
12,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,yes,yes,no,10,yes,no,no,Unfavorable,no,Straight / Heterosexual,194400,no,White,no,"I am not primarily a developer, but I write code sometimes as part of my work",yes,yes
12,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,yes,no,5,no,yes,no,Favorable,no,Straight / Heterosexual,65000,no,White,no,I am a developer by profession,no,yes
11,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,no,no,yes,5,yes,no,no,Indifferent,no,Straight / Heterosexual,110000,no,White,no,I am a developer by profession,yes,yes
24,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",55-64 years old,no,yes,no,21,no,no,no,Very unfavorable,no,Straight / Heterosexual,102000,no,Middle Eastern,no,I am a developer by profession,yes,yes
20,Man,no,"Associate degree (A.A., A.S., etc.)",35-44 years old,no,yes,no,15,no,no,no,Unsure,no,Straight / Heterosexual,130000,no,White,yes,I am a developer by profession,yes,yes
24,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,no,yes,no,20,yes,no,no,Unfavorable,no,Straight / Heterosexual,160000,no,White,no,I am a developer by profession,yes,no
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,7,yes,no,no,Indifferent,no,Straight / Heterosexual,95000,yes,White,no,I am a developer by profession,no,no
9,Woman,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,no,no,no,5,no,no,no,Unfavorable,no,Straight / Heterosexual,166000,no,Hispanic or Latino/a,no,I am a developer by profession,yes,yes
22,Woman,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,no,yes,no,17,no,no,no,Indifferent,no,Gay or Lesbian,200000,no,White,no,I am a developer by profession,yes,no
7,Man,no,Some college/university study without earning a degree,25-34 years old,no,yes,no,5,yes,no,no,Unfavorable,no,Straight / Heterosexual,35000,no,White,no,I am a developer by profession,no,no
27,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,no,yes,yes,25,no,no,no,Indifferent,no,Straight / Heterosexual,130000,no,White,no,I am a developer by profession,yes,yes
